experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper,regularization_config
xgboost_training_size_Mexico_Mexico_size1.0,training_size,Mexico,Mexico,0.8300653594771241,0.4411764705882353,"[0.7667454194792671, 0.8205882352941176]","[0.3968954248366013, 0.47450980392156866]",1222,306,467.3137178421021,458.5540750026703,5.848663091659546,0.1832420825958252,40c39c6b51478ef0c3b1bbf4639d6f45aa3a8dd7c27956df07299229,0,,xgboost,1.0,0.7667454194792671,0.8205882352941176,0.3968954248366013,0.4745098039215686,conservative
xgboost_in_domain_Mexico_Mexico_size1.0,in_domain,Mexico,Mexico,0.8529411764705883,0.4444444444444444,"[0.7714609450337513, 0.827859477124183]","[0.3943627450980392, 0.47303921568627455]",1222,306,514.827929019928,506.3744900226593,7.673671007156372,0.1448400020599365,8e0dc9efbb0b7ed4d65ed890b0c5d09adf955810bce867b9d12bc0fb,0,,xgboost,1.0,0.7714609450337513,0.827859477124183,0.3943627450980392,0.4730392156862745,conservative
xgboost_out_domain_Pemba_Mexico_size1.0,out_domain,Pemba,Mexico,0.0555555555555555,0.0130718954248366,"[0.03741830065359484, 0.0808823529411765]","[0.00400326797385621, 0.02393790849673203]",237,306,535.9152190685272,534.7387099266052,0.5025119781494141,0.0250718593597412,373e67f415fbc20eca2a526062bccf45c55dd4f167be4eb4e87cdd2c,0,,xgboost,1.0,0.0374183006535948,0.0808823529411765,0.0040032679738562,0.023937908496732,conservative
xgboost_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.2833333333333334,0.2166666666666666,"[0.23708333333333328, 0.3295833333333334]","[0.17041666666666666, 0.3129166666666667]",1186,60,588.0903429985046,584.6507680416107,2.773216009140014,0.0186648368835449,992becd7dfc79c6d2f35fa848b3087dd9ec935b992303cc41e6edcc9,0,,xgboost,1.0,0.2370833333333332,0.3295833333333334,0.1704166666666666,0.3129166666666667,conservative
xgboost_in_domain_Pemba_Pemba_size1.0,in_domain,Pemba,Pemba,0.847457627118644,0.6333333333333333,"[0.7333333333333334, 0.8720833333333333]","[0.6333333333333333, 0.7591666666666667]",237,60,598.3982121944427,596.6942422389984,1.0313091278076172,0.0210559368133544,0cd0295634313f3f548a65b0355ecef79276a36e6d077f21c1fd2e62,0,,xgboost,1.0,0.7333333333333334,0.8720833333333333,0.6333333333333333,0.7591666666666667,conservative
xgboost_training_size_Mexico_Mexico_size0.75,training_size,Mexico,Mexico,0.8398692810457516,0.4084967320261438,"[0.7777777777777778, 0.8256535947712418]","[0.35841503267973857, 0.41683006535947714]",916,306,607.046777009964,599.7886989116669,4.390129804611206,0.163923978805542,b644abb13a386d7553f49a240024137123fcc3a3e1334dce2455487a,0,,xgboost,0.75,0.7777777777777778,0.8256535947712418,0.3584150326797385,0.4168300653594771,conservative
xgboost_training_size_Mexico_Mexico_size0.5,training_size,Mexico,Mexico,0.8235294117647058,0.3986928104575163,"[0.7208333333333333, 0.7944444444444445]","[0.3344771241830065, 0.4102941176470588]",611,306,608.0439059734344,605.0466668605804,2.1920769214630127,0.1149609088897705,71f84328591a9e6c06f7e77afcee91dd4ebdfe0799508450cc7ed0cc,0,,xgboost,0.5,0.7208333333333333,0.7944444444444445,0.3344771241830065,0.4102941176470588,conservative
xgboost_out_domain_Mexico_AP_size1.0,out_domain,Mexico,AP,0.4612794612794613,0.2255892255892256,"[0.37525252525252534, 0.5048821548821548]","[0.1941919191919192, 0.24579124579124578]",1222,297,611.8657820224762,605.9170958995819,5.2416887283325195,0.0573732852935791,e28a9d3af04d642636c5ea94ca272d134b1142bd55369775a45623f8,0,,xgboost,1.0,0.3752525252525253,0.5048821548821548,0.1941919191919192,0.2457912457912457,conservative
xgboost_out_domain_Pemba_AP_size1.0,out_domain,Pemba,AP,0.1891891891891892,0.0336700336700336,"[0.15692567567567556, 0.23192567567567562]","[0.028451178451178453, 0.05235690235690236]",237,297,619.0570819377899,617.6964938640594,0.3904070854187011,0.0200629234313964,fe8deb8d9c11fe0019da61d042a31e087560fa1d660e5b318b908d37,0,,xgboost,1.0,0.1569256756756755,0.2319256756756756,0.0284511784511784,0.0523569023569023,conservative
xgboost_training_size_Mexico_Mexico_size0.25,training_size,Mexico,Mexico,0.7973856209150327,0.3790849673202614,"[0.7226307189542485, 0.7911764705882353]","[0.3348039215686274, 0.4210784313725491]",305,306,617.5759880542755,615.2187781333923,1.5669841766357422,0.0746350288391113,8ea71f41af1a704efba5d328dec2882d733c576ea29dac3938cf6d08,0,,xgboost,0.25,0.7226307189542485,0.7911764705882353,0.3348039215686274,0.4210784313725491,conservative
