experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,additional_metrics,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_AP_UP_size0.7,out_domain,AP,UP,0.5587188612099645,0.2704626334519573,"[0.5033807829181496, 0.6095195729537367]","[0.21316725978647688, 0.3190391459074733]",1186,281,361.0144159793854,,235.10954117774963,125.83118104934692,b3e46dfde0c29691b5968a9adbccd417f5d5e71bdb05e6d40b2d2ec4,0,,,ensemble,1.0,0.5033807829181496,0.6095195729537367,0.21316725978647688,0.3190391459074733
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_UP_Bohol_size0.7,out_domain,UP,Bohol,0.553784860557769,0.18725099601593626,"[0.4918326693227093, 0.6095617529880478]","[0.16294820717131475, 0.23037848605577688]",1124,251,302.83485865592957,,202.0865659713745,100.67072701454163,6420d3dec44dd95ef70de3fa5940b70c29fad6580dfb68a082df0e5e,0,,,ensemble,1.0,0.4918326693227093,0.6095617529880478,0.16294820717131475,0.23037848605577688
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_AP_Mexico_size0.7,out_domain,AP,Mexico,0.5228758169934641,0.1437908496732026,"[0.4506535947712418, 0.5508169934640523]","[0.1107843137254902, 0.17083333333333334]",1186,306,383.08013010025024,,239.23810482025146,143.81339693069458,b3f1bcae0f0caf413b62964fc18c056cab14f035c9567367874dc476,0,,,ensemble,1.0,0.4506535947712418,0.5508169934640523,0.1107843137254902,0.17083333333333334
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Pemba_Mexico_size0.7,out_domain,Pemba,Mexico,0.17320261437908502,0.02287581699346405,"[0.13545751633986916, 0.21274509803921576]","[0.008905228758169936, 0.036846405228758164]",237,306,117.64141798019409,,32.69499683380127,84.85201215744019,d4e4d13974f27f135f95925e335ff32bdc43bf4ac5cce5e6ae7e48a7,0,,,ensemble,1.0,0.13545751633986916,0.21274509803921576,0.008905228758169936,0.036846405228758164
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Pemba_AP_size0.7,out_domain,Pemba,AP,0.28378378378378366,0.09764309764309764,"[0.23091216216216212, 0.3188344594594595]","[0.06978114478114478, 0.12398989898989898]",237,297,109.5624167919159,,33.31683397293091,75.6841402053833,1e40a3b9c626ed41fb96091eb884b27356da130bf5a628cee5c98071,0,,,ensemble,1.0,0.23091216216216212,0.3188344594594595,0.06978114478114478,0.12398989898989898
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Pemba_UP_size0.7,out_domain,Pemba,UP,0.33096085409252674,0.12099644128113879,"[0.2568505338078291, 0.36752669039145913]","[0.08540925266903915, 0.14786476868327403]",237,281,110.08152770996094,,33.74485802650452,76.32784509658813,ec14f4b1cf830c3f0cc97fc3a00694825a0dc5ab885a03a28348e77a,0,,,ensemble,1.0,0.2568505338078291,0.36752669039145913,0.08540925266903915,0.14786476868327403
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Pemba_Bohol_size0.7,out_domain,Pemba,Bohol,0.26294820717131484,0.05179282868525897,"[0.21035856573705186, 0.2999003984063745]","[0.022808764940239045, 0.06882470119521912]",237,251,107.97916007041931,,36.38171911239624,71.52749872207642,7d7de674e073d79d8d4ac4ae84acc03a12c19a5f76774d3e33fa9ce7,0,,,ensemble,1.0,0.21035856573705186,0.2999003984063745,0.022808764940239045,0.06882470119521912
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Pemba_Dar_size0.7,out_domain,Pemba,Dar,0.22600619195046445,0.04938271604938271,"[0.18278867102396526, 0.24658893284409275]","[0.036188271604938274, 0.06651234567901233]",237,324,122.15377593040466,,34.80728220939636,87.11479091644287,c46d67863b5e144ba7aac4248d4179354a428b096daafe3e75122f1f,0,,,ensemble,1.0,0.18278867102396526,0.24658893284409275,0.036188271604938274,0.06651234567901233
ensemble_hard_none_size5_lr_xgb_cnb_rf_ins_in_domain_Pemba_Pemba_size0.7,in_domain,Pemba,Pemba,0.9152542372881356,0.55,"[0.7620833333333333, 0.9]","[0.49083333333333334, 0.6925]",237,60,65.52871990203857,,36.04215383529663,29.456011056900024,7d7de674e073d79d8d4ac4ae84acc03a12c19a5f76774d3e33fa9ce7,0,,,ensemble,1.0,0.7620833333333333,0.9,0.49083333333333334,0.6925
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Dar_Pemba_size0.7,out_domain,Dar,Pemba,0.2666666666666667,0.13333333333333333,"[0.14541666666666658, 0.3591666666666666]","[0.062083333333333345, 0.20916666666666664]",1293,60,301.6352241039276,,262.86437010765076,38.69429898262024,6f8332f9bf361da7ea07b88bddc18e5fa4b248b2e57cf4a0171cda40,0,,,ensemble,1.0,0.14541666666666658,0.3591666666666666,0.062083333333333345,0.20916666666666664
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Bohol_Pemba_size0.7,out_domain,Bohol,Pemba,0.2333333333333334,0.13333333333333333,"[0.11958333333333335, 0.30916666666666665]","[0.07875000000000001, 0.25]",1001,60,238.1765341758728,,198.26359391212463,39.62750697135925,6420d3dec44dd95ef70de3fa5940b70c29fad6580dfb68a082df0e5e,0,,,ensemble,1.0,0.11958333333333335,0.30916666666666665,0.07875000000000001,0.25
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Dar_Mexico_size0.7,out_domain,Dar,Mexico,0.33986928104575165,0.08169934640522876,"[0.2843137254901961, 0.37254901960784315]","[0.056127450980392166, 0.10220588235294117]",1293,306,407.494756937027,,268.55092573165894,138.887451171875,7d4664e5291cf8ac5c74332438f67aef4aad7eee0db2862f7f8a0c11,0,,,ensemble,1.0,0.2843137254901961,0.37254901960784315,0.056127450980392166,0.10220588235294117
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Dar_UP_size0.7,out_domain,Dar,UP,0.35943060498220636,0.05338078291814947,"[0.28336298932384346, 0.3866548042704628]","[0.03202846975088968, 0.07927046263345196]",1293,281,388.5747072696686,,262.0291540622711,126.42099905014038,3fe6da36d08bc35ba5821d99f0e3b2d11b799202ca80641eb46ac4bd,0,,,ensemble,1.0,0.28336298932384346,0.3866548042704628,0.03202846975088968,0.07927046263345196
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Bohol_UP_size0.7,out_domain,Bohol,UP,0.3807829181494662,0.13523131672597866,"[0.3147686832740213, 0.3969750889679717]","[0.09412811387900356, 0.1798932384341637]",1001,281,310.70473170280457,,191.92136406898499,118.75998091697693,3f55b59f99fdd4eb3217041ad3458592b602d111446eb9f85e017526,0,,,ensemble,1.0,0.3147686832740213,0.3969750889679717,0.09412811387900356,0.1798932384341637
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Dar_AP_size0.7,out_domain,Dar,AP,0.34121621621621623,0.09090909090909091,"[0.2782939189189189, 0.4029560810810811]","[0.06304713804713805, 0.1340909090909091]",1293,297,400.6545968055725,,266.76184606552124,133.73290705680847,98bbd54db6dfdaf38df2cbb6cbe530463573b40f062c3907dd9b5e48,0,,,ensemble,1.0,0.2782939189189189,0.4029560810810811,0.06304713804713805,0.1340909090909091
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Bohol_Mexico_size0.7,out_domain,Bohol,Mexico,0.4607843137254902,0.11764705882352941,"[0.4016339869281046, 0.4780228758169935]","[0.09060457516339869, 0.14795751633986928]",1001,306,327.0292329788208,,197.13600277900696,129.76835918426514,5091e3bb508038ea034f28b20fb27ea6765cd5c8e1453388c01ef716,0,,,ensemble,1.0,0.4016339869281046,0.4780228758169935,0.09060457516339869,0.14795751633986928
ensemble_hard_none_size3_xgb_cnb_ins_out_domain_Bohol_AP_size0.7,out_domain,Bohol,AP,0.404040404040404,0.11784511784511785,"[0.3526094276094276, 0.4472222222222222]","[0.0856902356902357, 0.14234006734006732]",1001,297,321.0610077381134,,194.54188895225525,126.48557496070862,a556656f16c83db04ecf858f1d6b2eba6fea4f3925156fc21d96b5cc,0,,,ensemble,1.0,0.3526094276094276,0.4472222222222222,0.0856902356902357,0.14234006734006732
