experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,additional_metrics,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
ensemble_soft_none_size5_xgb_cnb_ins_rf_lr_out_domain_Mexico_UP_size0.7,out_domain,Mexico,UP,0.5160142348754448,0.24199288256227758,"[0.4405693950177935, 0.5312277580071174]","[0.19475088967971532, 0.28505338078291814]",1222,281,336.20537972450256,,262.42015409469604,72.72203397750854,6659385c99a15e5c30f96bf6851583f3d6ce6c528ee246eb13676dce,0,,,ensemble,1.0,0.4405693950177935,0.5312277580071174,0.19475088967971532,0.28505338078291814
ensemble_soft_none_size5_xgb_cnb_ins_rf_lr_out_domain_UP_Mexico_size0.7,out_domain,UP,Mexico,0.5130718954248366,0.21568627450980393,"[0.4544934640522875, 0.5541913914688683]","[0.1821078431372549, 0.2487745098039215]",1124,306,160.7804708480835,,111.13548588752747,49.48955535888672,c058720880e7d583fe40c5d5d7e0975849c477d42f53df9cddd65472,0,,,ensemble,1.0,0.4544934640522875,0.5541913914688683,0.1821078431372549,0.2487745098039215
ensemble_soft_none_size5_xgb_cnb_ins_rf_lr_out_domain_AP_UP_size0.7,out_domain,AP,UP,0.7366548042704626,0.35231316725978645,"[0.6385987544483986, 0.7554270462633452]","[0.29083629893238433, 0.4040925266903914]",1186,281,183.2188699245453,,135.30346488952637,47.90209412574768,83ebb6500a40686bae94ef122fce447ac220e1e75e7093c1f1307f40,0,,,ensemble,1.0,0.6385987544483986,0.7554270462633452,0.29083629893238433,0.4040925266903914
ensemble_soft_none_size5_xgb_cnb_ins_rf_lr_out_domain_AP_Mexico_size0.7,out_domain,AP,Mexico,0.6372549019607843,0.2222222222222222,"[0.5561274509803922, 0.6586601307189542]","[0.19281045751633988, 0.2525326797385621]",1186,306,189.55697679519653,,136.1921317577362,53.35554814338684,3addc3f1f9330268a75a0a5cbd1ad4a7b009dbd2cd338674e4217d4c,0,,,ensemble,1.0,0.5561274509803922,0.6586601307189542,0.19281045751633988,0.2525326797385621
ensemble_soft_none_size5_xgb_cnb_ins_rf_lr_out_domain_UP_AP_size0.7,out_domain,UP,AP,0.7297297297297297,0.38047138047138046,"[0.6586876649376651, 0.7475506756756758]","[0.33821548821548825, 0.4444444444444444]",1124,297,164.4666039943695,,98.09977293014526,66.34617614746094,323e65a01e34e904be909c3217dbca6b4050b2cfbbb2c8a3b30c2814,0,,,ensemble,1.0,0.6586876649376651,0.7475506756756758,0.33821548821548825,0.4444444444444444
ensemble_soft_performance_size3_xgb_rf_cnb_out_domain_UP_AP_size0.7,out_domain,UP,AP,0.7162162162162162,0.31313131313131315,"[0.6308277027027027, 0.7376564064064063]","[0.25892255892255894, 0.3722222222222222]",1124,297,0.6937479972839355,,0.5437819957733154,0.11586713790893555,c058720880e7d583fe40c5d5d7e0975849c477d42f53df9cddd65472,0,,,ensemble,1.0,0.6308277027027027,0.7376564064064063,0.25892255892255894,0.3722222222222222
ensemble_soft_performance_size3_xgb_rf_cnb_out_domain_AP_UP_size0.7,out_domain,AP,UP,0.5765124555160143,0.2775800711743772,"[0.4880782918149467, 0.6033807829181494]","[0.22126334519572954, 0.3206405693950178]",1186,281,0.7553398609161377,,0.5671708583831787,0.11923408508300781,3addc3f1f9330268a75a0a5cbd1ad4a7b009dbd2cd338674e4217d4c,0,,,ensemble,1.0,0.4880782918149467,0.6033807829181494,0.22126334519572954,0.3206405693950178
ensemble_soft_performance_size3_xgb_rf_cnb_out_domain_UP_Mexico_size0.7,out_domain,UP,Mexico,0.5882352941176471,0.20588235294117646,"[0.5032679738562091, 0.6194444444444445]","[0.15089869281045754, 0.23300653594771237]",1124,306,0.7652299404144287,,0.5572550296783447,0.11414003372192383,83ebb6500a40686bae94ef122fce447ac220e1e75e7093c1f1307f40,0,,,ensemble,1.0,0.5032679738562091,0.6194444444444445,0.15089869281045754,0.23300653594771237
ensemble_soft_performance_size3_xgb_rf_cnb_out_domain_AP_Mexico_size0.7,out_domain,AP,Mexico,0.35620915032679734,0.0915032679738562,"[0.30629084967320264, 0.38978758169934635]","[0.0644607843137255, 0.10874183006535948]",1186,306,0.7973480224609375,,0.5771448612213135,0.11053729057312012,323e65a01e34e904be909c3217dbca6b4050b2cfbbb2c8a3b30c2814,0,,,ensemble,1.0,0.30629084967320264,0.38978758169934635,0.0644607843137255,0.10874183006535948
ensemble_soft_performance_size3_xgb_cnb_ins_in_domain_UP_UP_size0.7,in_domain,UP,UP,0.8607142857142858,0.4555160142348754,"[0.7821428571428571, 0.8555357142857143]","[0.4001779359430605, 0.5060498220640569]",1124,281,370.87072587013245,,255.19912219047546,115.57217788696289,55e74d03b01ccb2441368798803c1de2caa8b22d7209910bf29485ad,0,,,ensemble,1.0,0.7821428571428571,0.8555357142857143,0.4001779359430605,0.5060498220640569
ensemble_soft_performance_size5_xgb_rf_ins_cnb_lr_in_domain_UP_UP_size0.7,in_domain,UP,UP,0.85,0.498220640569395,"[0.7873214285714285, 0.8555357142857144]","[0.4322064056939502, 0.5480427046263345]",1124,281,387.1498601436615,,266.0324070453644,121.02522301673889,fbf2c47537e35414ab9e42e3a47c0297d15bc63ef168b87d7f3f009e,0,,,ensemble,1.0,0.7873214285714285,0.8555357142857144,0.4322064056939502,0.5480427046263345
ensemble_soft_performance_size3_xgb_cnb_ins_out_domain_UP_AP_size0.7,out_domain,UP,AP,0.7263513513513513,0.35353535353535354,"[0.6621621621621622, 0.7559121621621622]","[0.318013468013468, 0.4037878787878788]",1124,297,387.36498403549194,,254.76364398002625,132.50855326652527,66e685755865b186e5f833cb77c210e007aa494c11c77e1b79401b32,0,,,ensemble,1.0,0.6621621621621622,0.7559121621621622,0.318013468013468,0.4037878787878788
ensemble_soft_performance_size3_xgb_cnb_ins_out_domain_UP_Mexico_size0.7,out_domain,UP,Mexico,0.44771241830065367,0.17973856209150327,"[0.39869281045751637, 0.5089869281045752]","[0.14052287581699346, 0.22205882352941167]",1124,306,400.89856004714966,,265.47162413597107,135.33636474609375,aae5a655f434440afcdf890bf55663c26616412301e7e426fa4c8c96,0,,,ensemble,1.0,0.39869281045751637,0.5089869281045752,0.14052287581699346,0.22205882352941167
