experiment_id,experiment_type,train_site,test_site,random_seed,csmf_accuracy,cod_accuracy,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,additional_metrics,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
categorical_nb_in_domain_Dar_Dar_seed2,in_domain,Dar,Dar,2,0.3177257525083611,0.2993827160493827,1293,324,0.2162456512451172,,0.05600595474243164,0.0292510986328125,e33a30e400043a70ded679078e0690b1fc7ff3e55de0d483a7109192,0,,,categorical_nb,1.0,,,,
logistic_regression_in_domain_Dar_Dar_seed2,in_domain,Dar,Dar,2,0.8528428093645485,0.6512345679012346,1293,324,0.42944884300231934,,0.2579352855682373,0.007322072982788086,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,logistic_regression,1.0,,,,
xgboost_in_domain_Mexico_Mexico_seed2,in_domain,Mexico,Mexico,2,0.9431438127090301,0.673202614379085,1222,306,1.584907054901123,,0.4745180606842041,0.013015985488891602,e33a30e400043a70ded679078e0690b1fc7ff3e55de0d483a7109192,0,,,xgboost,1.0,,,,
random_forest_in_domain_Mexico_Mexico_seed2,in_domain,Mexico,Mexico,2,0.7692307692307693,0.673202614379085,1222,306,0.2831258773803711,,0.16437935829162598,0.08226680755615234,e33a30e400043a70ded679078e0690b1fc7ff3e55de0d483a7109192,0,,,random_forest,1.0,,,,
logistic_regression_in_domain_Mexico_Mexico_seed2,in_domain,Mexico,Mexico,2,0.7792642140468227,0.5915032679738562,1222,306,0.6837868690490723,,0.24416613578796387,0.006769895553588867,e33a30e400043a70ded679078e0690b1fc7ff3e55de0d483a7109192,0,,,logistic_regression,1.0,,,,
categorical_nb_in_domain_Mexico_Mexico_seed2,in_domain,Mexico,Mexico,2,0.48494983277591974,0.28104575163398693,1222,306,0.08423805236816406,,0.051811933517456055,0.025632143020629883,e33a30e400043a70ded679078e0690b1fc7ff3e55de0d483a7109192,0,,,categorical_nb,1.0,,,,
insilico_in_domain_UP_UP_seed1,in_domain,UP,UP,1,0.9645669291338582,0.708185053380783,1124,281,47.147916078567505,,0.002008676528930664,46.53790307044983,575efe20f957524b3f1b9ea7c4b60825eddab0ae76031dc461c12fe3,0,,,insilico,1.0,,,,
insilico_in_domain_AP_AP_seed1,in_domain,AP,AP,1,0.9151943462897527,0.5858585858585859,1186,297,49.74714183807373,,0.0020990371704101562,48.15670919418335,4ccb38902354ae298fb30c6efdebf103a8a83c8e2aca43a5de1a39b5,0,,,insilico,1.0,,,,
insilico_in_domain_AP_AP_seed2,in_domain,AP,AP,2,0.8975265017667845,0.6195286195286195,1186,297,48.38125991821289,,0.0018608570098876953,48.21115803718567,e23587d268c536c4cad05f3eb0bfea215dae36d8ca1e3a5829677544,0,,,insilico,1.0,,,,
insilico_in_domain_Dar_Dar_seed1,in_domain,Dar,Dar,1,0.9130434782608695,0.7067901234567902,1293,324,49.788909673690796,,0.0021467208862304688,48.44670796394348,32de65e10d34b0b4b4193d9aca2b017aec1ca46e14e2c3008821efe7,0,,,insilico,1.0,,,,
insilico_in_domain_Mexico_Mexico_seed1,in_domain,Mexico,Mexico,1,0.8595317725752508,0.6437908496732027,1222,306,50.10565400123596,,0.002074003219604492,49.02557611465454,14678e81dd8026d3029311c8f3c420141512e7060200ed85e34d1b80,0,,,insilico,1.0,,,,
insilico_in_domain_Dar_Dar_seed2,in_domain,Dar,Dar,2,0.919732441471572,0.7067901234567902,1293,324,33.00065875053406,,0.0018880367279052734,32.1360559463501,51f34d22ea39139f6fb3b226941a695bb3fe8e10097155c698b95337,0,,,insilico,1.0,,,,
insilico_in_domain_Mexico_Mexico_seed2,in_domain,Mexico,Mexico,2,0.8595317725752508,0.5816993464052288,1222,306,27.022641897201538,,0.0017240047454833984,24.988224029541016,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,insilico,1.0,,,,
categorical_nb_in_domain_Pemba_Pemba_seed2,in_domain,Pemba,Pemba,2,0.4901960784313725,0.48333333333333334,237,60,0.0517120361328125,,0.01536107063293457,0.008085966110229492,e23587d268c536c4cad05f3eb0bfea215dae36d8ca1e3a5829677544,0,,,categorical_nb,1.0,,,,
logistic_regression_in_domain_Pemba_Pemba_seed2,in_domain,Pemba,Pemba,2,0.8431372549019608,0.6833333333333333,237,60,0.07715010643005371,,0.03918600082397461,0.004173994064331055,32de65e10d34b0b4b4193d9aca2b017aec1ca46e14e2c3008821efe7,0,,,logistic_regression,1.0,,,,
xgboost_in_domain_Pemba_Pemba_seed2,in_domain,Pemba,Pemba,2,0.9215686274509803,0.7166666666666667,237,60,0.09131908416748047,,0.05132889747619629,0.005432844161987305,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,xgboost,1.0,,,,
random_forest_in_domain_Pemba_Pemba_seed2,in_domain,Pemba,Pemba,2,0.9607843137254902,0.7333333333333333,237,60,0.1921079158782959,,0.10632801055908203,0.0520319938659668,14678e81dd8026d3029311c8f3c420141512e7060200ed85e34d1b80,0,,,random_forest,1.0,,,,
categorical_nb_in_domain_UP_UP_seed2,in_domain,UP,UP,2,0.8858267716535433,0.6156583629893239,1124,281,0.20162081718444824,,0.04369401931762695,0.021989822387695312,32de65e10d34b0b4b4193d9aca2b017aec1ca46e14e2c3008821efe7,0,,,categorical_nb,1.0,,,,
random_forest_in_domain_UP_UP_seed2,in_domain,UP,UP,2,0.9645669291338582,0.6797153024911032,1124,281,0.28914618492126465,,0.18590211868286133,0.07188987731933594,e33a30e400043a70ded679078e0690b1fc7ff3e55de0d483a7109192,0,,,random_forest,1.0,,,,
logistic_regression_in_domain_UP_UP_seed2,in_domain,UP,UP,2,0.9409448818897638,0.697508896797153,1124,281,0.25171899795532227,,0.20949983596801758,0.006463050842285156,e23587d268c536c4cad05f3eb0bfea215dae36d8ca1e3a5829677544,0,,,logistic_regression,1.0,,,,
xgboost_in_domain_AP_AP_seed3,in_domain,AP,AP,3,0.9469964664310954,0.7037037037037037,1186,297,0.34987473487854004,,0.1567528247833252,0.011703014373779297,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,xgboost,1.0,,,,
xgboost_in_domain_UP_UP_seed2,in_domain,UP,UP,2,0.9606299212598425,0.7366548042704626,1124,281,0.48326897621154785,,0.43911099433898926,0.011462211608886719,4ccb38902354ae298fb30c6efdebf103a8a83c8e2aca43a5de1a39b5,0,,,xgboost,1.0,,,,
logistic_regression_in_domain_AP_AP_seed3,in_domain,AP,AP,3,0.8904593639575972,0.6430976430976431,1186,297,0.2999000549316406,,0.22021102905273438,0.0062029361724853516,e33a30e400043a70ded679078e0690b1fc7ff3e55de0d483a7109192,0,,,logistic_regression,1.0,,,,
random_forest_in_domain_AP_AP_seed3,in_domain,AP,AP,3,0.9681978798586572,0.6801346801346801,1186,297,0.31130003929138184,,0.2106480598449707,0.07788705825805664,32de65e10d34b0b4b4193d9aca2b017aec1ca46e14e2c3008821efe7,0,,,random_forest,1.0,,,,
random_forest_in_domain_Bohol_Bohol_seed3,in_domain,Bohol,Bohol,3,0.8436213991769548,0.6334661354581673,1001,251,0.27813100814819336,,0.1484520435333252,0.05895400047302246,e33a30e400043a70ded679078e0690b1fc7ff3e55de0d483a7109192,0,,,random_forest,1.0,,,,
categorical_nb_in_domain_AP_AP_seed3,in_domain,AP,AP,3,0.7137809187279152,0.5252525252525253,1186,297,0.5756080150604248,,0.04525184631347656,0.023221969604492188,e23587d268c536c4cad05f3eb0bfea215dae36d8ca1e3a5829677544,0,,,categorical_nb,1.0,,,,
categorical_nb_in_domain_Bohol_Bohol_seed3,in_domain,Bohol,Bohol,3,0.23456790123456794,0.13147410358565736,1001,251,0.11490201950073242,,0.04121279716491699,0.021277189254760742,e33a30e400043a70ded679078e0690b1fc7ff3e55de0d483a7109192,0,,,categorical_nb,1.0,,,,
xgboost_in_domain_Bohol_Bohol_seed3,in_domain,Bohol,Bohol,3,0.9588477366255144,0.5936254980079682,1001,251,0.6175880432128906,,0.14956116676330566,0.010356903076171875,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,xgboost,1.0,,,,
logistic_regression_in_domain_Bohol_Bohol_seed3,in_domain,Bohol,Bohol,3,0.6666666666666667,0.41832669322709165,1001,251,0.6695296764373779,,0.18490290641784668,0.005811214447021484,32de65e10d34b0b4b4193d9aca2b017aec1ca46e14e2c3008821efe7,0,,,logistic_regression,1.0,,,,
random_forest_in_domain_Dar_Dar_seed3,in_domain,Dar,Dar,3,0.9297658862876255,0.7191358024691358,1293,324,0.2867088317871094,,0.13916897773742676,0.07641887664794922,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,random_forest,1.0,,,,
xgboost_in_domain_Dar_Dar_seed3,in_domain,Dar,Dar,3,0.939799331103679,0.75,1293,324,0.5401887893676758,,0.16804218292236328,0.012183666229248047,e23587d268c536c4cad05f3eb0bfea215dae36d8ca1e3a5829677544,0,,,xgboost,1.0,,,,
categorical_nb_in_domain_Dar_Dar_seed3,in_domain,Dar,Dar,3,0.35451505016722407,0.33641975308641975,1293,324,0.12749624252319336,,0.05871987342834473,0.027315855026245117,0c32e25851af3c05e56430d32e5c03eb37f4d506bb50e3a98cfcf08f,0,,,categorical_nb,1.0,,,,
logistic_regression_in_domain_Dar_Dar_seed3,in_domain,Dar,Dar,3,0.802675585284281,0.691358024691358,1293,324,0.36196208000183105,,0.24558377265930176,0.006608247756958008,32de65e10d34b0b4b4193d9aca2b017aec1ca46e14e2c3008821efe7,0,,,logistic_regression,1.0,,,,
xgboost_in_domain_Mexico_Mexico_seed3,in_domain,Mexico,Mexico,3,0.9732441471571907,0.7058823529411765,1222,306,0.44844603538513184,,0.1743781566619873,0.011831998825073242,e23587d268c536c4cad05f3eb0bfea215dae36d8ca1e3a5829677544,0,,,xgboost,1.0,,,,
random_forest_in_domain_Mexico_Mexico_seed3,in_domain,Mexico,Mexico,3,0.802675585284281,0.7058823529411765,1222,306,0.47304582595825195,,0.17600274085998535,0.09545707702636719,32de65e10d34b0b4b4193d9aca2b017aec1ca46e14e2c3008821efe7,0,,,random_forest,1.0,,,,
categorical_nb_in_domain_Mexico_Mexico_seed3,in_domain,Mexico,Mexico,3,0.4916387959866221,0.3006535947712418,1222,306,0.08007502555847168,,0.046473026275634766,0.02427196502685547,32de65e10d34b0b4b4193d9aca2b017aec1ca46e14e2c3008821efe7,0,,,categorical_nb,1.0,,,,
xgboost_in_domain_Pemba_Pemba_seed3,in_domain,Pemba,Pemba,3,0.8627450980392157,0.7333333333333333,237,60,0.14294004440307617,,0.06834220886230469,0.005472898483276367,32de65e10d34b0b4b4193d9aca2b017aec1ca46e14e2c3008821efe7,0,,,xgboost,1.0,,,,
logistic_regression_in_domain_Mexico_Mexico_seed3,in_domain,Mexico,Mexico,3,0.7591973244147157,0.5392156862745098,1222,306,0.4218251705169678,,0.23140287399291992,0.0066072940826416016,e23587d268c536c4cad05f3eb0bfea215dae36d8ca1e3a5829677544,0,,,logistic_regression,1.0,,,,
random_forest_in_domain_Pemba_Pemba_seed3,in_domain,Pemba,Pemba,3,0.8823529411764706,0.6833333333333333,237,60,0.24278020858764648,,0.16636013984680176,0.06567597389221191,32de65e10d34b0b4b4193d9aca2b017aec1ca46e14e2c3008821efe7,0,,,random_forest,1.0,,,,
