label,model,train_site,test_site,random_seed,csmf_accuracy,cod_accuracy,n_train,n_test,execution_time_seconds
va34,random_forest,AP,UP,8,0.7330960854092526,0.4270462633451957,1186,281,0.1699230670928955
va34,categorical_nb,AP,UP,8,0.5729537366548042,0.2918149466192171,1186,281,0.0966958999633789
va34,xgboost,AP,UP,8,0.7758007117437722,0.4626334519572954,1186,281,0.837576150894165
va34,xgboost,Bohol,AP,8,0.1249999999999998,0.0707070707070707,1001,297,0.6075000762939453
va34,logistic_regression,AP,UP,8,0.690391459074733,0.3629893238434163,1186,281,0.9255552291870116
va34,random_forest,Bohol,AP,8,0.1081081081081082,0.0572390572390572,1001,297,0.2519700527191162
va34,categorical_nb,Bohol,AP,8,0.3367003367003367,0.1077441077441077,1001,297,0.0899658203125
va34,logistic_regression,Bohol,AP,8,0.2861952861952862,0.0639730639730639,1001,297,0.7405860424041748
va34,xgboost,Bohol,Dar,8,0.6265432098765432,0.3024691358024691,1001,324,0.6371021270751953
va34,random_forest,Bohol,Dar,8,0.5030864197530864,0.2345679012345679,1001,324,0.188666820526123
va34,logistic_regression,Bohol,Dar,8,0.4537037037037037,0.2129629629629629,1001,324,0.7396149635314941
va34,categorical_nb,Bohol,Dar,8,0.2561728395061728,0.0648148148148148,1001,324,0.0904598236083984
va34,xgboost,Bohol,Mexico,8,0.150326797385621,0.0555555555555555,1001,306,0.6060001850128174
va34,insilico,AP,Pemba,8,0.5666666666666667,0.3,1186,60,18.577767848968502
va34,random_forest,Bohol,Mexico,8,0.078688524590164,0.0457516339869281,1001,306,0.1770498752593994
va34,logistic_regression,Bohol,Mexico,8,0.3071895424836602,0.0392156862745098,1001,306,0.7214572429656982
va34,categorical_nb,Bohol,Mexico,8,0.2058823529411765,0.0588235294117647,1001,306,0.2692480087280273
va34,xgboost,Bohol,Pemba,8,0.0499999999999999,0.0,1001,60,0.5915238857269287
va34,insilico,Bohol,Pemba,8,0.5333333333333333,0.2833333333333333,1001,60,15.17938494682312
va34,random_forest,Bohol,Pemba,8,0.05,0.0333333333333333,1001,60,0.1585280895233154
va34,logistic_regression,Bohol,Pemba,8,0.1666666666666668,0.0166666666666666,1001,60,0.7308309078216553
va34,categorical_nb,Bohol,Pemba,8,0.1500000000000001,0.05,1001,60,0.0819511413574218
va34,xgboost,Bohol,UP,8,0.1750000000000001,0.096085409252669,1001,281,0.6014118194580078
va34,insilico,AP,Bohol,8,0.6733067729083666,0.2828685258964143,1186,251,50.54684495925903
va34,random_forest,Bohol,UP,8,0.1071428571428571,0.0604982206405693,1001,281,0.1437687873840332
va34,logistic_regression,Bohol,UP,8,0.2740213523131672,0.0391459074733096,1001,281,0.7170279026031494
va34,categorical_nb,Bohol,UP,8,0.3238434163701068,0.1387900355871886,1001,281,0.0918090343475341
va34,insilico,Bohol,AP,8,0.4662162162162162,0.2289562289562289,1001,297,53.91147184371948
va34,insilico,AP,UP,8,0.6761565836298933,0.4021352313167259,1186,281,56.462544202804565
va34,insilico,AP,Dar,8,0.6604938271604939,0.2438271604938271,1186,324,60.49787712097168
va34,insilico,Bohol,Dar,8,0.4829721362229102,0.2098765432098765,1001,324,56.9543559551239
va34,insilico,Bohol,Mexico,8,0.6045751633986929,0.2352941176470588,1001,306,55.66517400741577
va34,insilico,AP,Mexico,8,0.5980392156862745,0.2483660130718954,1186,306,62.04928994178772
va34,insilico,Bohol,UP,8,0.5195729537366548,0.2455516014234875,1001,281,53.654480934143066
va34,categorical_nb,Dar,AP,8,0.1818181818181818,0.0841750841750841,1293,297,0.1490681171417236
va34,random_forest,Dar,AP,8,0.1621621621621621,0.0538720538720538,1293,297,0.1996810436248779
va34,random_forest,Dar,Bohol,8,0.5577689243027889,0.2231075697211155,1293,251,0.195868968963623
va34,categorical_nb,Dar,Bohol,8,0.1633466135458168,0.0557768924302788,1293,251,0.0993289947509765
va34,xgboost,Dar,Bohol,8,0.7171314741035857,0.2709163346613545,1293,251,0.8826742172241211
va34,xgboost,Dar,AP,8,0.0844594594594595,0.0437710437710437,1293,297,0.8922820091247559
va34,logistic_regression,Dar,AP,8,0.2356902356902357,0.0437710437710437,1293,297,0.9863839149475098
va34,random_forest,Dar,Mexico,8,0.1503267973856211,0.0555555555555555,1293,306,0.167051076889038
va34,xgboost,Dar,Mexico,8,0.0784313725490197,0.0261437908496732,1293,306,0.8684260845184326
va34,categorical_nb,Dar,Mexico,8,0.218954248366013,0.0392156862745098,1293,306,0.1145248413085937
va34,logistic_regression,Dar,Bohol,8,0.4741035856573705,0.2191235059760956,1293,251,0.9934890270233154
va34,random_forest,Dar,Pemba,8,0.0847457627118642,0.0666666666666666,1293,60,0.1623401641845703
