experiment_id,experiment_type,train_site,test_site,csmf_accuracy,cod_accuracy,csmf_accuracy_ci,cod_accuracy_ci,n_train,n_test,execution_time_seconds,tuning_time_seconds,training_time_seconds,inference_time_seconds,worker_id,retry_count,error,model,training_fraction,csmf_accuracy_ci_lower,csmf_accuracy_ci_upper,cod_accuracy_ci_lower,cod_accuracy_ci_upper
xgboost_in_domain_Mexico_Mexico_size1.0,in_domain,Mexico,Mexico,0.7450980392156863,0.39869281045751637,"[0.668218954248366, 0.7794934640522876]","[0.34624183006535947, 0.45098039215686275]",1222,306,5770.719975233078,5769.780529022217,0.6716611385345459,0.0802621841430664,21634bf921dfef028df2a3687f19790eda996d0c87b82768d76ef0b1,0,,xgboost,1.0,0.668218954248366,0.7794934640522876,0.34624183006535947,0.45098039215686275
random_forest_out_domain_AP_Bohol_size1.0,out_domain,AP,Bohol,0.09163346613545831,0.035856573705179286,"[0.061653386454183334, 0.11952191235059773]","[0.01593625498007968, 0.05976095617529881]",1186,251,5743.15433382988,5741.912750720978,0.16020488739013672,0.10901093482971191,b322407358ce4bc4862a0c4095b1dedc029de9e72c794f35a991d036,0,,random_forest,1.0,0.061653386454183334,0.11952191235059773,0.01593625498007968,0.05976095617529881
categorical_nb_in_domain_Bohol_Bohol_size1.0,in_domain,Bohol,Bohol,0.2350597609561753,0.10358565737051793,"[0.17320717131474106, 0.27888446215139456]","[0.06374501992031872, 0.13545816733067728]",1001,251,5876.8815631866455,5875.255326986313,0.05762481689453125,0.08421611785888672,bdd6e23db042e2f1d809452b2f247c029d0efcc2da37d53d4c8f0fa7,0,,categorical_nb,1.0,0.17320717131474106,0.27888446215139456,0.06374501992031872,0.13545816733067728
random_forest_in_domain_Bohol_Bohol_size1.0,in_domain,Bohol,Bohol,0.6573705179282868,0.35856573705179284,"[0.5915338645418328, 0.6993027888446215]","[0.30677290836653387, 0.41245019920318726]",1001,251,5877.540827989578,5875.53538107872,0.349092960357666,0.1445472240447998,7bc2a6ce4843bd60c6c061e2a3f458b9af3be6e018c61b378cafd742,0,,random_forest,1.0,0.5915338645418328,0.6993027888446215,0.30677290836653387,0.41245019920318726
categorical_nb_out_domain_AP_Dar_size1.0,out_domain,AP,Dar,0.4104938271604939,0.08024691358024691,"[0.3502314814814815, 0.4413580246913581]","[0.04938271604938271, 0.11288580246913572]",1186,324,5715.832241773605,5715.2019917964935,0.06706786155700684,0.09594893455505371,97ac280362dcd4b3f7e854a9a5226f0579e6a50686b1bb96ec1f6e64,0,,categorical_nb,1.0,0.3502314814814815,0.4413580246913581,0.04938271604938271,0.11288580246913572
xgboost_in_domain_Pemba_Pemba_size1.0,in_domain,Pemba,Pemba,0.8,0.5166666666666667,"[0.6499999999999999, 0.8333333333333334]","[0.42458333333333337, 0.65]",237,60,5897.013473033905,5896.373520851135,0.14733076095581055,0.06490421295166016,5a66bc6cbd9be37289128ca41b4ad75d2842a4f6431f73758f73fd80,0,,xgboost,1.0,0.6499999999999999,0.8333333333333334,0.42458333333333337,0.65
logistic_regression_out_domain_AP_Mexico_size1.0,out_domain,AP,Mexico,0.37908496732026153,0.11437908496732026,"[0.3137254901960784, 0.42156862745098045]","[0.07344771241830066, 0.14052287581699346]",1186,306,5724.826059818268,5715.199218034744,8.778921842575073,0.076171875,aadd8e981738d4d3b1ef2443ab87a6ec8f92e5515bc4bdfae18c84cb,0,,logistic_regression,1.0,0.3137254901960784,0.42156862745098045,0.07344771241830066,0.14052287581699346
random_forest_in_domain_AP_AP_size1.0,in_domain,AP,AP,0.7702702702702703,0.4006734006734007,"[0.6748316498316498, 0.7875383906633906]","[0.3585016835016835, 0.4511784511784512]",1186,297,5950.871730327606,5948.691780805588,0.3951528072357178,0.22440719604492188,c6430ab1064d46176b32682a2459a1db438a323af39689cd3b087389,0,,random_forest,1.0,0.6748316498316498,0.7875383906633906,0.3585016835016835,0.4511784511784512
xgboost_out_domain_AP_Bohol_size1.0,out_domain,AP,Bohol,0.04780876494023922,0.01593625498007968,"[0.02788844621513953, 0.0677290836653387]","[0.00398406374501992, 0.035856573705179286]",1186,251,5851.639095783234,5849.353237867355,1.666712760925293,0.10296320915222168,352d5426c783ccea13da6d005d4470619723e109b64787bca8d538ab,0,,xgboost,1.0,0.02788844621513953,0.0677290836653387,0.00398406374501992,0.035856573705179286
logistic_regression_in_domain_Dar_Dar_size1.0,in_domain,Dar,Dar,0.8395061728395061,0.38580246913580246,"[0.7469135802469136, 0.8442129629629629]","[0.33479938271604937, 0.4522376543209876]",1293,324,5963.471461057663,5943.37545800209,19.68913722038269,0.07323789596557617,04209365deec2cf1ed172d2d9eac520100a3eb9c285775f24615d107,0,,logistic_regression,1.0,0.7469135802469136,0.8442129629629629,0.33479938271604937,0.4522376543209876
random_forest_in_domain_UP_UP_size1.0,in_domain,UP,UP,0.7071428571428572,0.48398576512455516,"[0.6487855871886121, 0.7406768433179723]","[0.4412811387900356, 0.5463523131672597]",1124,281,5919.110001087189,5918.359004020691,0.13212299346923828,0.12810301780700684,9e37213933da2dfe845040f16b2b3d156ac44186f17fb4e54bef84fa,0,,random_forest,1.0,0.6487855871886121,0.7406768433179723,0.4412811387900356,0.5463523131672597
xgboost_in_domain_UP_UP_size1.0,in_domain,UP,UP,0.8464285714285715,0.5124555160142349,"[0.766814946619217, 0.8521285587188612]","[0.4624555160142349, 0.5768683274021351]",1124,281,5940.645852327347,5938.983376026154,0.6289160251617432,0.08623194694519043,fb4837c305b25cca219899a758a44f80feacf7802ba73a2871b71bcc,0,,xgboost,1.0,0.766814946619217,0.8521285587188612,0.4624555160142349,0.5768683274021351
categorical_nb_in_domain_AP_AP_size1.0,in_domain,AP,AP,0.6722972972972974,0.3265993265993266,"[0.5950686481936482, 0.6946790540540541]","[0.2743265993265993, 0.3771043771043771]",1186,297,5988.216078042984,5986.494438171387,0.07049989700317383,0.0975489616394043,2c272eee21dc61c25881f8c17636d5d9b445e219896d7300869c68d8,0,,categorical_nb,1.0,0.5950686481936482,0.6946790540540541,0.2743265993265993,0.3771043771043771
logistic_regression_in_domain_UP_UP_size1.0,in_domain,UP,UP,0.8398576512455517,0.48398576512455516,"[0.763256227758007, 0.8559608540925266]","[0.43416370106761565, 0.5392348754448398]",1124,281,5913.800521373749,5897.304103851318,15.463162183761597,0.07220697402954102,347eb46331efdf772b1fa24c38abc2c7b49ec57b08d1cca1fd17c238,0,,logistic_regression,1.0,0.763256227758007,0.8559608540925266,0.43416370106761565,0.5392348754448398
xgboost_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.44999999999999984,0.35,"[0.29999999999999993, 0.5666666666666667]","[0.24125000000000005, 0.4666666666666667]",1186,60,5769.978356838226,5765.802486896515,3.348736047744751,0.07239794731140137,519bbee2710cfe40b95eaa76d7d64a407e4bdb15c4c99415ebc308cb,0,,xgboost,1.0,0.29999999999999993,0.5666666666666667,0.24125000000000005,0.4666666666666667
random_forest_in_domain_Dar_Dar_size1.0,in_domain,Dar,Dar,0.7777777777777778,0.41975308641975306,"[0.6912037037037038, 0.7993827160493827]","[0.36712962962962964, 0.47530864197530864]",1293,324,6003.263214111328,6001.365605831146,0.23708200454711914,0.12697505950927734,a8443c82f86dd0ae8876bc26d87571e7f14d14fdc7e55d24424b25ba,0,,random_forest,1.0,0.6912037037037038,0.7993827160493827,0.36712962962962964,0.47530864197530864
xgboost_in_domain_Dar_Dar_size1.0,in_domain,Dar,Dar,0.8765432098765432,0.4382716049382716,"[0.7823302469135803, 0.8781635802469135]","[0.3794753086419753, 0.49382716049382713]",1293,324,6008.441819190979,6003.523948907852,3.2597110271453857,0.1688549518585205,8b0eb5151c7b4b01126c7dcb88d199767699f02eeff5bc552889fd7b,0,,xgboost,1.0,0.7823302469135803,0.8781635802469135,0.3794753086419753,0.49382716049382713
random_forest_in_domain_Mexico_Mexico_size1.0,in_domain,Mexico,Mexico,0.8137254901960784,0.3562091503267974,"[0.7169117647058824, 0.80890522875817]","[0.30032679738562096, 0.4069444444444444]",1222,306,5988.753617048264,5987.344862937927,0.5447728633880615,0.17081904411315918,1cdac8d229ca7ebf000bcd2c19cf4cfa3134c5f602266f9bda79f3e0,0,,random_forest,1.0,0.7169117647058824,0.80890522875817,0.30032679738562096,0.4069444444444444
xgboost_in_domain_AP_AP_size1.0,in_domain,AP,AP,0.8614864864864865,0.4713804713804714,"[0.7689086814086814, 0.8551363863863863]","[0.4191077441077441, 0.5339225589225588]",1186,297,6018.9990520477295,6015.731068849564,1.5789811611175537,0.11419105529785156,91e3a01e4c3b3ec36e06e72c7e4bc77f103f714f68b97caf515e22f0,0,,xgboost,1.0,0.7689086814086814,0.8551363863863863,0.4191077441077441,0.5339225589225588
logistic_regression_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.35,0.21666666666666667,"[0.21666666666666656, 0.4595833333333329]","[0.11666666666666667, 0.3254166666666665]",1186,60,5776.779236078262,5757.392982006073,18.529150009155273,0.05945706367492676,7a31cc4f3c40814e2ca5453a29e536309e8692a257bf3de05a5bfb27,0,,logistic_regression,1.0,0.21666666666666656,0.4595833333333329,0.11666666666666667,0.3254166666666665
xgboost_out_domain_AP_Dar_size1.0,out_domain,AP,Dar,0.25617283950617287,0.11728395061728394,"[0.20825617283950618, 0.28395061728395055]","[0.08155864197530865, 0.14683641975308634]",1186,324,5883.18085193634,5880.5664048194885,1.9034287929534912,0.14884614944458008,e65ee8c4489dd1d68838876739c34a6e1d8721bb77c0bdb4e860fb8d,0,,xgboost,1.0,0.20825617283950618,0.28395061728395055,0.08155864197530865,0.14683641975308634
categorical_nb_out_domain_AP_Pemba_size1.0,out_domain,AP,Pemba,0.30000000000000004,0.18333333333333332,"[0.1833333333333334, 0.4]","[0.09125000000000004, 0.2833333333333333]",1186,60,5769.514870166779,5768.563957929611,0.06831884384155273,0.06171107292175293,92ccd55463d909cbee564f1ab0a3023917582c66040d7bde34023d4f,0,,categorical_nb,1.0,0.1833333333333334,0.4,0.09125000000000004,0.2833333333333333
logistic_regression_in_domain_AP_AP_size1.0,in_domain,AP,AP,0.8243243243243243,0.44107744107744107,"[0.7405723905723905, 0.8381244881244881]","[0.3872053872053872, 0.5016835016835017]",1186,297,6056.854449272156,6038.179869890213,17.04562497138977,0.07060098648071289,669bf406df87d3257a1e341b79a232b10cad591cba98aceedf9219c7,0,,logistic_regression,1.0,0.7405723905723905,0.8381244881244881,0.3872053872053872,0.5016835016835017
logistic_regression_in_domain_Mexico_Mexico_size1.0,in_domain,Mexico,Mexico,0.4019607843137255,0.12745098039215685,"[0.3280228758169936, 0.4413398692810458]","[0.08962418300653598, 0.16356209150326792]",1222,306,6035.680933237076,6026.72952914238,8.193789958953857,0.07177400588989258,616af21aec5ec80a5e77ddd53bf6b715c8a42d5ad5b6d517909992b4,0,,logistic_regression,1.0,0.3280228758169936,0.4413398692810458,0.08962418300653598,0.16356209150326792
logistic_regression_out_domain_AP_Dar_size1.0,out_domain,AP,Dar,0.42901234567901236,0.11728395061728394,"[0.367283950617284, 0.46149691358024686]","[0.08626543209876544, 0.15123456790123457]",1186,324,5935.454618215561,5917.936359167099,16.832985162734985,0.06985092163085938,387d6627448b9de8c90c3b2d157fbe37e30736470dd3fa0f9148fd5d,0,,logistic_regression,1.0,0.367283950617284,0.46149691358024686,0.08626543209876544,0.15123456790123457
insilico_out_domain_Dar_Pemba_size1.0,out_domain,Dar,Pemba,0.44999999999999996,0.23333333333333334,"[0.2833333333333333, 0.5420833333333333]","[0.13333333333333333, 0.35]",1293,60,30.498895168304443,,0.0037403106689453125,30.090656995773315,41be22e5894c1e21cda70b2005c617bfb21b7586b6a42317b579fac3,0,,insilico,1.0,0.2833333333333333,0.5420833333333333,0.13333333333333333,0.35
insilico_out_domain_Bohol_Pemba_size1.0,out_domain,Bohol,Pemba,0.31666666666666665,0.21666666666666667,"[0.20791666666666675, 0.43333333333333324]","[0.13333333333333333, 0.30874999999999986]",1001,60,30.72340416908264,,0.00397491455078125,30.31815195083618,b886f7dd4c17e816462d6f577ba3129049896a98f0d48afe9c770459,0,,insilico,1.0,0.20791666666666675,0.43333333333333324,0.13333333333333333,0.30874999999999986
insilico_out_domain_Dar_Bohol_size1.0,out_domain,Dar,Bohol,0.40239043824701204,0.18725099601593626,"[0.34661354581673315, 0.4422310756972112]","[0.14133466135458167, 0.23107569721115537]",1293,251,100.46299386024475,,0.0033609867095947266,100.05026531219482,b72e707f1f4034a6ebe7d926af2a46ac227fe31bb3cd245da6e172b8,0,,insilico,1.0,0.34661354581673315,0.4422310756972112,0.14133466135458167,0.23107569721115537
insilico_out_domain_Bohol_UP_size1.0,out_domain,Bohol,UP,0.494661921708185,0.25622775800711745,"[0.41975088967971536, 0.5373665480427046]","[0.20097864768683274, 0.30604982206405695]",1001,281,110.47274088859558,,0.0035741329193115234,110.06836295127869,967b326cd6abdc0445a43029c2570735cd6067efc220fcdd26b6b1c9,0,,insilico,1.0,0.41975088967971536,0.5373665480427046,0.20097864768683274,0.30604982206405695
insilico_out_domain_Dar_AP_size1.0,out_domain,Dar,AP,0.625,0.23232323232323232,"[0.5401515151515152, 0.659503822003822]","[0.18501683501683502, 0.28619528619528617]",1293,297,112.03770518302917,,0.003042936325073242,111.71446824073792,d7d4940439ad76bfc95377963712eb9a1a79abb71492c12facceb30b,0,,insilico,1.0,0.5401515151515152,0.659503822003822,0.18501683501683502,0.28619528619528617
insilico_out_domain_AP_UP_size1.0,out_domain,AP,UP,0.6178571428571429,0.3238434163701068,"[0.5371886120996442, 0.6583629893238434]","[0.26859430604982204, 0.3719750889679715]",1186,281,114.85687112808228,,0.0021181106567382812,114.34477281570435,7a31cc4f3c40814e2ca5453a29e536309e8692a257bf3de05a5bfb27,0,,insilico,1.0,0.5371886120996442,0.6583629893238434,0.26859430604982204,0.3719750889679715
insilico_out_domain_Bohol_AP_size1.0,out_domain,Bohol,AP,0.5067567567567568,0.24915824915824916,"[0.44505841068341073, 0.5566100191100192]","[0.20361952861952862, 0.30690235690235673]",1001,297,115.90721797943115,,0.002077817916870117,115.39862298965454,fb4837c305b25cca219899a758a44f80feacf7802ba73a2871b71bcc,0,,insilico,1.0,0.44505841068341073,0.5566100191100192,0.20361952861952862,0.30690235690235673
insilico_out_domain_Bohol_Mexico_size1.0,out_domain,Bohol,Mexico,0.6209150326797384,0.21241830065359477,"[0.552124183006536, 0.6669934640522875]","[0.16339869281045752, 0.2631535947712418]",1001,306,117.04691886901855,,0.0027778148651123047,116.72035813331604,21fe5bc90755a9fa610aa059a83c8f51b283411fc29443e069796862,0,,insilico,1.0,0.552124183006536,0.6669934640522875,0.16339869281045752,0.2631535947712418
